turn,province_index,province,converged,ceiling_hit,iterations,initial_statistic,final_statistic,final_to_initial_ratio,last20_final_to_initial_ratio,last20_decrease_fraction,last20_range,last20_coefficient_of_variation,last20_two_step_to_one_step_median,last20_policy_switch_median,last20_two_step_reversion_median,first_policy_switch_iteration,first_two_step_reversion_iteration,first_value_nondec_iteration,first_derivative_floor_hit_iteration,first_negative_offdiagonal_iteration,first_nonzero_row_sum_defect_iteration,derivative_floor_share_first,derivative_floor_share_final,minimum_offdiagonal_all_iterations,maximum_row_sum_defect_all_iterations,linear_solve_residual_first,linear_solve_residual_final,linear_solve_residual_max,raw_entering_r_a,consumed_r_a,return_guard_state,consumed_household_composite_wage,guarded_wjt,wage_guard_state,accepted_output_exact,final_operator_exact
2,9,江苏,False,True,100,0.4903928913666511,5.307823215191222,10.823613695539343,2.5478825016235027,0.631578947368421,131.52532227456015,2.219269655654513,1.375666102569928,233.0,38.5,2,4,2,3,2,1,0.0,0.855,-136360.2839742173,289.43282254536945,6.545458619555689e-14,4.6403329024245765e-07,1689.752996926202,0.4559391086970459,0.35,UPPER,17.316265334824283,1.3,UPPER,True,True
2,10,浙江,False,True,100,0.49857916817768766,6.7458188865614215,13.530085725838614,5.582952972005436,0.3684210526315789,218.09644232632917,1.6484744834349467,1.1343811621398685,286.5,57.0,2,3,2,3,2,1,0.0,0.53,-2353.4643435420303,0.27711889579739907,5.370009992233804e-14,0.011759238490754336,0.18962461765288105,0.5103872209647321,0.35,UPPER,17.051197623233485,1.3,UPPER,True,True
2,11,安徽,False,True,100,0.49158690090954726,0.0008401221113487622,0.0017090001987326061,0.1669304605898915,0.3684210526315789,0.007658299866740492,0.7081540996176962,0.8304052647599329,2.0,1.0,2,3,2,3,2,1,0.0,0.745,-28877.77247723026,0.3203258933542403,5.98063265577764e-14,7.947703259403305e-11,0.004433581615690907,0.5489080240565922,0.35,UPPER,17.30532606542527,1.3,UPPER,True,True
2,12,福建,False,True,100,0.5107357322141954,13.913839660989568,27.24273784539966,0.38956498001516326,0.5789473684210527,35.21024118797206,1.6227660635873917,1.438036774615151,188.5,40.5,2,3,2,3,2,1,0.0,0.0825,-46263.3143756526,0.30690976676231546,6.949302244763089e-14,0.00012065353200928913,1.3929835192077578,0.5374007585319589,0.35,UPPER,16.66198966859062,1.3,UPPER,True,True
2,13,江西,False,True,100,0.49838838735793667,1.892730308895823,3.7977014651757655,5.532731348276427,0.3684210526315789,38.71214716135212,2.0481345012131835,1.178791882145772,190.5,35.5,2,3,2,3,2,1,0.0,0.32,-129551.00655739359,0.3115236679313617,6.952771691715043e-14,8.750283300240982e-08,0.043244254509539615,0.5413318073667525,0.35,UPPER,17.069422740212204,1.3,UPPER,True,True
2,14,山东,False,True,100,0.4694133631925377,50.93586949139517,108.50962815582004,16.08821190254019,0.5789473684210527,50.681681299464735,2.831332595851111,1.1381187003931115,231.0,50.5,2,4,3,4,2,1,0.0,0.2825,-7491.676191310771,0.08277058365678885,6.607214775300463e-14,5.615235394032872e-06,0.1253545787250593,0.2783443332018329,0.2783443332018329,UNSATURATED,17.316742296355574,1.3,UPPER,True,True
2,15,河南,False,True,100,0.4616502882467741,0.6239367899469316,1.3515355797057524,0.007612763366832875,0.5263157894736842,81.49306322741083,2.660549041089413,1.280985279821885,269.5,50.0,2,3,3,4,2,1,0.0,0.125,-9278.760888010996,0.068434709255416,5.2138848793958914e-14,8.779125973109106e-08,0.00023997099806572983,0.25304592118083025,0.25304592118083025,UNSATURATED,17.433368343285245,1.3,UPPER,True,True
2,16,湖北,False,True,100,0.485686139706595,0.19716495406406254,0.4059513705356523,0.15261968084588914,0.631578947368421,30.569692798178565,1.6600181325027241,1.021513296551209,35.0,6.0,2,4,2,3,2,1,0.0,0.0275,-2467.0659459703393,0.4916682839393616,7.39130978644198e-14,0.12796933359610635,2.273416578711193,0.45052857784049805,0.35,UPPER,17.480975827270356,1.3,UPPER,True,True
2,17,湖南,False,True,100,0.49585880507538516,1.1733612154404869,2.3663212257814026,10.87485805071457,0.6842105263157895,46.745206219009425,1.8358756610052447,1.3028210767282116,171.5,41.5,2,3,2,3,2,1,0.0,0.1225,-8132.399416927207,0.1727827844617295,5.818262538426211e-14,1.005508785562395e-06,0.00027200807515715374,0.40256238500533503,0.35,UPPER,17.11706890530236,1.3,UPPER,True,True
2,18,广东,False,True,100,0.5223379756962925,0.7699379692611381,1.4740225774983855,0.028387046542737864,0.5263157894736842,40.702573023223366,1.436430156095326,1.2712858222236787,182.0,37.0,2,3,2,3,2,1,0.0,0.55,-10419.696818867591,0.24505809510995452,5.2111093218343285e-14,2.1326365921645746e-06,0.05423984555945009,0.4799881090546145,0.35,UPPER,16.278919285062173,1.3,UPPER,True,True
2,19,广西,False,True,100,0.5215637751920856,1.6940600278575726,3.2480400450235845,2.786494305545886,0.631578947368421,49.5080032218713,1.7437995256876326,1.1176630477252893,174.0,31.5,2,3,3,4,2,1,0.0,0.5525,-1576.9746707624595,0.34646765391031903,6.513539707597715e-14,1.5960219538601467e-06,0.8134096961326226,0.3059096356629964,0.3059096356629964,UNSATURATED,15.788196281266416,1.3,UPPER,True,True
