turn,province_index,province,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,firm_K_total_over_Ktarget,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,A,B,L,C,nk_gap,yt_gap,GDP_level_gap,Zt_before,Zt_after,govinv_action,adaptation_gate_open
15,14,山东,210016973.07581103,189926.72810310093,371704550.1797953,371704550.1797953,371894476.9078984,0.0009043398984449794,1.769878618551554,1.769878618551554,1.770782958449999,0.11431775528116422,0.09,0.08258704420430737,3.1585807481109613,1.3,7.306939781414354,4.677503210623638,0.6798283999338792,9.344460476384741,0.11968148011340118,0.00021823924914232684,0.07262556215444005,0.5710579053466129,0.5710579053466129,NONE,False
15,15,河南,168320556.01470312,197800.38385592643,297828077.3605675,297828077.3605675,298025877.74442345,0.0011751409841983184,1.7694100139174425,1.7694100139174425,1.770585154901641,0.1049975799105164,0.09,0.08517769454942384,2.3360618164496234,1.3,7.309428701790168,4.673921818168515,0.6771091578446166,9.350469837661743,0.11963422221293052,0.00024365651410285238,0.07259950941670934,0.5023853688414254,0.5023853688414254,NONE,False
15,16,湖北,101805153.6623069,203177.90159543106,179981140.14323103,179981140.14323103,180184318.04482648,0.001995752614542314,1.7678981237063698,1.7678981237063698,1.7698938763209122,0.15806318989646884,0.09,0.0850808081856501,1.9791080040091769,1.3,7.3104578493515255,4.673366372904642,0.6778294575930915,9.306468968250414,0.11954128409145759,0.0002592676941035599,0.07255070580241396,0.6120724719491192,0.6120724719491192,NONE,False
15,17,湖南,93791807.14892803,206203.74247110597,165775520.34684515,165775520.34684515,165981724.08931625,0.0021985261691747104,1.7674840200447064,1.7674840200447064,1.769682546213881,0.14635906376362715,0.09,0.08718217301331095,1.7042811790807662,1.3,7.313991285474078,4.669916903870918,0.6784854529445004,9.128379513469937,0.11951566037298833,0.00026137061270992135,0.0725401826017944,0.5620182448995692,0.5620182448995692,NONE,False
15,18,广东,191259406.86816654,198164.6604852442,338459826.05628896,338459826.05628896,338657990.7167742,0.0010361041254396308,1.7696375388719385,1.7696375388719385,1.7706736429973782,0.2093089996644968,0.09,0.08625629187307605,4.931446060447442,1.3,7.3202118522424,4.666746093154329,0.6830837754009346,8.876202171511505,0.11961977978311733,0.00023597337300329535,0.07261543704325679,0.9222396427211803,0.9222396427211803,NONE,False
15,19,广西,67306708.83876626,208106.89090877183,118853987.05146743,118853987.05146743,119062093.94237621,0.0030919189854802364,1.7658564666441063,1.7658564666441063,1.7689483856295867,0.10287639112505104,0.09,0.08754485522862773,0.9674356396727913,0.9674356396727913,7.329776854003655,4.6601514937186685,0.6880688850334616,8.478954073417595,0.11999121601519436,0.0002284974996359379,0.07238370418367546,0.39404011540754713,0.39404011540754713,NONE,False
15,20,海南,14673330.466888333,210690.09927048406,25604710.73065415,25604710.73065415,25815400.829924636,0.01435871016099071,1.7449828986291451,1.7449828986291451,1.759341608790136,0.12303621358753489,0.09,0.08663051989865317,0.24634071435576854,0.8,7.341304416771155,4.654448416929306,0.6955479215691027,8.078700708623096,0.11833282633907727,0.0005320056350470725,0.07176310305632394,0.30558883321772395,0.30558883321772395,NONE,False
15,21,重庆,50663834.63130832,207869.33370652047,89370778.64003116,89370778.64003116,89578647.97373767,0.004102913552028396,1.763995546140588,1.763995546140588,1.7680984596926164,0.16439228475927523,0.09,0.08589444393458663,1.0521675014365228,1.0521675014365228,7.319161012992562,4.66763089362597,0.6826869219769023,8.924827409893245,0.1202531200350494,0.0002607332145482255,0.07223667677679169,0.5311422904487348,0.5311422904487348,NONE,False
15,22,四川,94830047.41899477,209359.1407047777,167609574.84437266,167609574.84437266,167818933.98507744,0.0022077300012278847,1.7674732788417853,1.7674732788417853,1.7696810088430133,0.17648775442460898,0.09,0.0890543195943695,2.0557450864398517,1.3,7.320114243518272,4.665051695356486,0.6808843594214935,8.854309372859289,0.11951931491039569,0.00026109726971124125,0.0725393763895339,0.6608299926464583,0.6608299926464583,NONE,False
15,23,贵州,39447014.665611394,211422.3950949282,69491601.27167523,69491601.27167523,69703023.66677016,0.005359655144682958,1.761644115803159,1.761644115803159,1.7670037709478421,0.14745325766246514,0.09,0.08978845159518083,0.7841400905794406,0.8,7.324762257563362,4.66171982185302,0.6832402802440654,8.657504972831944,0.11923005994015123,0.0003278770317906021,0.07234086932024208,0.46067055265663326,0.46067055265663326,NONE,False
