stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,5,24,云南,True,13,2.5944268067235043e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,25,西藏,True,14,1.425810580713005e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,26,陕西,True,14,7.912010113741985e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,27,甘肃,False,100,0.08288612392047373,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,28,青海,True,25,1.6417622816788935e-10,HJB_CONVERGED
OUTER_TRAJECTORY,5,29,宁夏,True,34,2.621643568900822e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,30,新疆,False,100,0.0011439608073753327,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,6,0,北京,True,28,8.461425693440106e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,1,天津,True,24,6.392189000337112e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,2,河北,True,13,9.524934441174082e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,3,山西,True,13,9.792114674667118e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,4,内蒙古,True,26,9.314304438845511e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,5,辽宁,True,15,6.860919921081177e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,6,吉林,True,26,2.6243771600320542e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,7,黑龙江,True,40,2.44088091960748e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,8,上海,True,28,9.234991438233919e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,9,江苏,True,14,1.6835155491889964e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,10,浙江,True,15,5.511057388218887e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,11,安徽,True,14,4.382041396411296e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,12,福建,True,15,6.266297702950396e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,13,江西,True,14,1.5383085916198525e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,14,山东,True,16,1.109599523374527e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,15,河南,True,13,4.628273764240021e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,16,湖北,True,13,4.751278037673501e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,17,湖南,True,14,3.2139224614979867e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,18,广东,True,13,1.4066722009431487e-08,HJB_CONVERGED
