step,index_0,index_1,name,mt,ra0,wt0,ra,wjt,rk,divrate,Zt_used,Zt_after,GovInv_used,GovInv_after,Zt_changed,GovInv_ratio,Yt,Kt,Lt_supply,Y_over_K,Kt_supply_derived,alpha,N,Kt0,Zt_init,production_identity_pass,nk_gap,yt_gap,Y_over_target,z_reset_candidate,provenance,raw_price_gap,gate,expected_gov_multiplier,inferred_ra_trigger,captured_action_class,enabled_action_is_source_multiplier,gov_expectation_matches,zt_expectation_matches,action_evidence
1,30,31,新疆,,,,,,,,0.0006624231201077291,0.0006624231201077291,35352199.6021162,35352199.6021162,False,1.0,12645.291366766725,35449195.97813925,2323300.4644692615,0.00035671588643547235,96996.37602305412,0.772866243094144,44039.04,35352199.6021162,0.0006624231201077291,True,4.0860398127967095,0.9989634225395057,0.0010365774604942934,0.6390483541788103,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,0,1,北京,,,,,,,,0.0016341152925786636,0.0016341152925786636,49270438.3129602,49270438.3129602,False,1.0,43285.42358194155,49376654.79714958,3182421.7096168934,0.0008766374263256151,106216.48418938369,0.772866243094144,123780.0,49270438.3129602,0.0016341152925786636,True,0.18266695279955592,0.05794270009697078,0.0014276204529799013,1.1446426738757782,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,1,2,天津,,,,,,,,0.0006331796953290661,0.0006331796953290661,51336802.8150781,51336802.8150781,False,1.0,17413.382811676096,51442342.01505961,3265460.91195216,0.00033850291665527926,105539.19998151064,0.772866243094144,89700.0,51336802.8150781,0.0006331796953290661,True,0.17190748764175767,0.060715681425403956,0.0013031121051144583,0.48589809951420204,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,2,3,河北,,,,,,,,0.00020325561576148244,0.00020325561576148244,90356776.0949341,90356776.0949341,False,1.0,8694.033878446455,90462508.40057164,3344394.9822215135,9.610648689895843e-05,105732.30563753843,0.772866243094144,419600.0,90356776.0949341,0.00020325561576148244,True,0.21588538018627634,0.06092291906325942,0.00026755318971295093,0.7596830222041036,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,3,4,山西,,,,,,,,0.0006904139506587265,0.0006904139506587265,37758335.6649879,37758335.6649879,False,1.0,15010.848495569964,37866207.929257065,3291517.3888585228,0.00039641805494792983,107872.2642691657,0.772866243094144,178900.0,37758335.6649879,0.0006904139506587265,True,0.14472453262925322,0.05832787349978674,0.0009406395671403832,0.7339835307562472,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,4,5,内蒙古,,,,,,,,0.0006509396292199082,0.0006509396292199082,56986309.349860296,56986309.349860296,False,1.0,19354.374163631765,57091774.82108515,3229506.99707996,0.00033900459784767106,105465.4712248519,0.772866243094144,130400.0,56986309.349860296,0.0006509396292199082,True,0.1924347647960083,0.05870666672211278,0.0011990993090555688,0.5428571464465268,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,5,6,辽宁,,,,,,,,0.0002864698302222306,0.0002864698302222306,67054545.412681095,67054545.412681095,False,1.0,9684.122339976444,67159715.87488092,3269982.088707861,0.00014419540365563844,105170.46219982952,0.772866243094144,226100.0,67054545.412681095,0.0002864698302222306,True,0.18980252018127897,0.06218032845708499,0.00041190626911279826,0.6954733435819168,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,6,7,吉林,,,,,,,,0.00047331941528535383,0.00047331941528535383,52390313.5226049,52390313.5226049,False,1.0,13171.983378914112,52496089.13281593,3210794.4377426,0.0002509136127376801,105775.61021102965,0.772866243094144,147424.0,52390313.5226049,0.00047331941528535383,True,0.18841625872713785,0.057877111627953504,0.001170446575774259,0.4043921568758912,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,7,8,黑龙江,,,,,,,,0.0005703841154289705,0.0005703841154289705,44224774.7160286,44224774.7160286,False,1.0,13869.504734077034,44331735.525654145,3150643.6158212055,0.00031285724706290707,106960.80962554365,0.772866243094144,163500.0,44224774.7160286,0.0005703841154289705,True,0.1730725831624491,0.057637505427153846,0.0010796329532617472,0.5283129916567915,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,8,9,上海,,,,,,,,0.0015030642394494576,0.0015030642394494576,54021103.923275396,54021103.923275396,False,1.0,42779.89083375601,54126988.97051053,3194439.815572568,0.000790361548784163,105885.04723513126,0.772866243094144,137600.0,54021103.923275396,0.0015030642394494576,True,0.18985693904039636,0.05836576049774811,0.0011879402605521191,1.2652692137489119,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
2,9,10,江苏,,,,,,,,0.0001820044285805966,0.0001820044285805966,149374736.001046,149374736.001046,False,1.0,11460.987200344518,149473956.94616297,3324166.910939794,7.667547868872233e-05,99220.94511696696,0.772866243094144,488700.0,149374736.001046,0.0001820044285805966,True,0.2219462737290543,0.06505324498183307,0.00012377490890848268,1.4704468796270165,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
