turn,route,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,ra_lower,ra_interior,ra_upper,rah_min,rah_median,rah_max,max_KN_gap,max_GDP_level_gap,HJB_converged_count,Zt_adjustment_count
21,G1_C0,1.3260812587683553,2.352756216485356,2.356564148007953,1.3144349634860897,2.349362036048516,2.3557084412921188,0.0008557067158342472,0.0030002252201177843,0.032578861285661315,0,18,13,0.043355088445798204,0.08029127779433262,0.09,0.12134882588687756,0.07234587638224377,30,0
21,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002754,0.9968741560681393,0.9990771059693219,0.0009228940306782008,0.003125843931860711,0.03398061369972453,0,1,30,0.06490309855747681,0.08488047609984661,0.09,7.881691099775878e-08,0.007556323724965175,31,0
22,G0_C0,1.342381361577689,2.359847270778117,2.371639186927955,1.3310000000000002,2.3579476910000015,2.3579476910000023,0.0008576587729191256,0.0029280656667003448,0.031827219984056285,0,18,13,0.04312975340802523,0.0802879414378604,0.09,0.04363016086907545,0.07317355477590826,30,22
22,G1_C0,1.3257894192159605,2.3526688948749954,2.356564405557555,1.3144349634860897,2.349362036048516,2.3557084412921188,0.000855964265436062,0.0029226839283621425,0.031768342849850854,0,18,13,0.04337576529359215,0.08029147266880787,0.09,0.04419127567040748,0.07258184926452116,31,22
22,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002748,0.9968741560681392,0.9990771059693219,0.0009228940306782018,0.0031258439318608117,0.03398061369972512,0,1,30,0.06490309855747681,0.08488047609984661,0.09,3.152680272400232e-08,0.007556323724975278,31,0
23,G0_C0,1.3422837376949632,2.595625129163842,2.607316602559961,1.3310000000000002,2.593742460100002,2.5937424601000028,0.0008493932223572677,0.0029020304300717446,0.03156248702345431,0,18,13,0.04307481553671163,0.07605842210874378,0.08978668198369737,0.1221581404859724,0.072102640490181,31,0
23,G1_C0,1.325740436006128,2.5868794440731135,2.59213104863248,1.3144349634860897,2.5831962474851733,2.591279285421331,0.000851763211148975,0.0029095626613599664,0.031636912242316975,0,18,13,0.043294023953490815,0.07629038657777198,0.08978675545410483,0.1229363797215759,0.07195458766724228,31,0
23,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002734,0.9968741560681391,0.9990771059693219,0.0009228940306782535,0.00312584393186095,0.03398061369972668,0,1,30,0.06490309855747681,0.08488047609984661,0.09,1.2610738453489034e-08,0.007556323724979719,31,0
24,G0_C0,1.342283534345176,2.595625139404112,2.6073166728249286,1.3310000000000002,2.593742460100002,2.5937424601000028,0.0008493972700559567,0.0029020461807708277,0.03156258715897108,0,18,13,0.04309563548404684,0.07609378676323474,0.08978668388381744,0.04550956302890374,0.07207623891925596,31,21
24,G1_C0,1.325739390988663,2.586879136794283,2.5921309702216897,1.3144349634860897,2.5831962474851733,2.591279285421331,0.0008516848003586469,0.0029093151277078725,0.031634290146153224,0,18,13,0.0433074031403047,0.0763170446784378,0.08978675588096588,0.04584426190486912,0.07190897593289547,31,21
24,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002741,0.9968741560681391,0.9990771059693219,0.0009228940306782114,0.003125843931860879,0.03398061369972588,0,1,30,0.06490309855747681,0.08488047609984661,0.09,5.0442781063253506e-09,0.007556323724975278,31,0
25,G0_C0,1.3422659595802506,2.853982006571298,2.866669200187509,1.3310000000000002,2.8531167061100016,2.8531167061100033,0.0008481231331185131,0.0028972105868056955,0.031512159806483794,0,21,10,0.04301645724258693,0.0670072446496698,0.0897863626523916,0.12229540553631124,0.07220163208908015,31,0
25,G1_C0,1.3257022041568054,2.823874321575053,2.8512142917573127,1.3144349634860897,2.810312408071226,2.8503483106194247,0.0008487807700594351,0.002899305958355325,0.031529764086409395,0,21,10,0.04321939245328199,0.06725903055190531,0.08978643379999873,0.12099132683728997,0.07255439940204123,30,0
25,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002738,0.9968741560681391,0.9990771059693219,0.0009228940306782564,0.0031258439318609006,0.0339806136997262,0,1,30,0.06490309855747681,0.08488047609984661,0.09,2.0177068904558837e-09,0.007556323724974279,31,0
