stage,turn,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,8,江西,True,14,4.393352348586177e-10,HJB_CONVERGED
OUTER_TRAJECTORY,8,山东,True,16,7.617928510228467e-11,HJB_CONVERGED
OUTER_TRAJECTORY,8,河南,True,13,3.823264371760615e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,湖北,True,13,3.0599345279824774e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,湖南,True,13,5.18446601205369e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,广东,True,13,1.1515072895207368e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,广西,True,13,1.895047718747378e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,海南,True,14,8.316680677467048e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,重庆,True,13,8.97757646001196e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,四川,True,14,1.6726358076368797e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,贵州,True,14,2.0152071122936377e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,云南,True,14,1.4574266238298605e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,西藏,True,16,2.7164182014871585e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,陕西,True,100,1.5647894091586068e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,甘肃,True,13,2.0549079771114975e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,青海,True,27,3.805612713847495e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,宁夏,True,26,1.8170546844942237e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,新疆,True,16,2.674678700742561e-09,HJB_CONVERGED
OUTER_TRAJECTORY,9,北京,True,25,1.216332368159101e-09,HJB_CONVERGED
OUTER_TRAJECTORY,9,天津,True,25,8.024065412115533e-09,HJB_CONVERGED
OUTER_TRAJECTORY,9,河北,True,13,2.9141550950129158e-08,HJB_CONVERGED
OUTER_TRAJECTORY,9,山西,True,13,9.658990229866049e-08,HJB_CONVERGED
OUTER_TRAJECTORY,9,内蒙古,True,25,2.2822663758859107e-09,HJB_CONVERGED
OUTER_TRAJECTORY,9,辽宁,True,15,9.609762630091723e-08,HJB_CONVERGED
