population,group,threshold,count,abs_exceed_count,abs_exceed_share,positive_exceed_count,positive_exceed_share,negative_exceed_count,negative_exceed_share
RAW_BRANCH_CELLS,d_ff,10000000.0,21756800,253,1.1628548315928814e-05,111,5.101853213707898e-06,142,6.526695102220915e-06
RAW_BRANCH_CELLS,d_ff,100000000.0,21756800,39,1.7925430210325048e-06,22,1.0111781144285925e-06,17,7.813649066039124e-07
SELECTED_ITERATION_CELLS,ALL,100.0,21756800,1960377,0.09010410538314458,626507,0.02879591667892337,1333870,0.06130818870422121
SELECTED_ITERATION_CELLS,ALL,300.0,21756800,890069,0.040909922415061035,343996,0.01581096484777173,546073,0.025098957567289307
SELECTED_ITERATION_CELLS,ALL,1000.0,21756800,427782,0.01966199073393146,165684,0.007615274305044859,262098,0.0120467164288866
SELECTED_ITERATION_CELLS,ALL,3000.0,21756800,198306,0.009114667598176203,64731,0.0029752077511398735,133575,0.006139459847036329
SELECTED_ITERATION_CELLS,ALL,10000.0,21756800,83928,0.0038575525812619502,23057,0.0010597606265627297,60871,0.0027977919546992203
SELECTED_ITERATION_CELLS,ALL,30000.0,21756800,36240,0.0016656861303132814,9420,0.0004329680835416973,26820,0.001232718046771584
SELECTED_ITERATION_CELLS,ALL,100000.0,21756800,13448,0.0006181056037652596,3517,0.00016165061038388,9931,0.0004564549933813796
SELECTED_ITERATION_CELLS,ALL,300000.0,21756800,5471,0.000251461612001765,1456,6.692160611854685e-05,4015,0.0001845400058832181
SELECTED_ITERATION_CELLS,ALL,1000000.0,21756800,2106,9.679732313575526e-05,565,2.596889248418885e-05,1541,7.08284306515664e-05
SELECTED_ITERATION_CELLS,ALL,3000000.0,21756800,912,4.191792910722165e-05,240,1.1031033975584644e-05,672,3.088689513163701e-05
SELECTED_ITERATION_CELLS,ALL,10000000.0,21756800,367,1.6868289454331518e-05,90,4.1366377408442416e-06,277,1.2731651713487278e-05
SELECTED_ITERATION_CELLS,ALL,100000000.0,21756800,58,2.665833210766289e-06,16,7.354022650389764e-07,42,1.930430945727313e-06
SELECTED_ITERATION_CELLS,PATH_G1,100.0,10689600,882552,0.08256174225415357,283596,0.026530085316569377,598956,0.0560316569375842
SELECTED_ITERATION_CELLS,PATH_G1,300.0,10689600,418475,0.039147863343810804,160891,0.01505117123185152,257584,0.02409669211195929
SELECTED_ITERATION_CELLS,PATH_G1,1000.0,10689600,207438,0.019405590480466996,81806,0.00765285885346505,125632,0.011752731627001946
SELECTED_ITERATION_CELLS,PATH_G1,3000.0,10689600,97655,0.009135514892980093,32746,0.00306335129471636,64909,0.006072163598263733
SELECTED_ITERATION_CELLS,PATH_G1,10000.0,10689600,41224,0.003856458613979943,11229,0.0010504602604400539,29995,0.0028059983535398893
SELECTED_ITERATION_CELLS,PATH_G1,30000.0,10689600,17701,0.0016559085466247567,4459,0.00041713441101631494,13242,0.0012387741356084418
SELECTED_ITERATION_CELLS,PATH_G1,100000.0,10689600,6534,0.0006112483161203413,1626,0.00015211046250561294,4908,0.00045913785361472836
SELECTED_ITERATION_CELLS,PATH_G1,300000.0,10689600,2602,0.00024341415955695254,650,6.080676545427331e-05,1952,0.00018260739410267925
SELECTED_ITERATION_CELLS,PATH_G1,1000000.0,10689600,988,9.242628349049544e-05,234,2.189043556353839e-05,754,7.053584792695704e-05
SELECTED_ITERATION_CELLS,PATH_G1,3000000.0,10689600,413,3.863568328094597e-05,96,8.98069151324652e-06,317,2.9654991767699447e-05
SELECTED_ITERATION_CELLS,PATH_G1,10000000.0,10689600,159,1.4874270318814549e-05,31,2.900014967819189e-06,128,1.197425535099536e-05
SELECTED_ITERATION_CELLS,PATH_G1,100000000.0,10689600,17,1.5903307888040711e-06,0,0.0,17,1.5903307888040711e-06
SELECTED_ITERATION_CELLS,PATH_G2,100.0,11067200,1077825,0.09738913184906751,342911,0.030984440508891136,734914,0.06640469134017637
SELECTED_ITERATION_CELLS,PATH_G2,300.0,11067200,471594,0.042611862078935955,183105,0.016544835188665605,288489,0.026067026890270347
SELECTED_ITERATION_CELLS,PATH_G2,1000.0,11067200,220344,0.01990964290877548,83878,0.00757897209773023,136466,0.01233067081104525
SELECTED_ITERATION_CELLS,PATH_G2,3000.0,11067200,100651,0.009094531588839092,31985,0.00289007156281625,68666,0.006204460026022842
SELECTED_ITERATION_CELLS,PATH_G2,10000.0,11067200,42704,0.003858609223651872,11828,0.0010687436750036142,30876,0.0027898655486482578
SELECTED_ITERATION_CELLS,PATH_G2,30000.0,11067200,18539,0.0016751301142113634,4961,0.00044826152956484026,13578,0.0012268685846465231
SELECTED_ITERATION_CELLS,PATH_G2,100000.0,11067200,6914,0.0006247289287263265,1891,0.000170865259505566,5023,0.00045386366922076045
SELECTED_ITERATION_CELLS,PATH_G2,300000.0,11067200,2869,0.00025923449472314586,806,7.282781552696256e-05,2063,0.0001864066791961833
SELECTED_ITERATION_CELLS,PATH_G2,1000000.0,11067200,1118,0.00010101922798901257,331,2.990819719531589e-05,787,7.111103079369668e-05
SELECTED_ITERATION_CELLS,PATH_G2,3000000.0,11067200,499,4.508818852103513e-05,144,1.3011421136330779e-05,355,3.2076767384704354e-05
SELECTED_ITERATION_CELLS,PATH_G2,10000000.0,11067200,208,1.8794274974700016e-05,59,5.331068382246639e-06,149,1.3463206592453376e-05
SELECTED_ITERATION_CELLS,PATH_G2,100000000.0,11067200,41,3.704640740205291e-06,16,1.4457134595923087e-06,25,2.2589272806129824e-06
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,100.0,4904000,466933,0.09521472267536704,150294,0.030647226753670473,316639,0.06456749592169657
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,300.0,4904000,209471,0.04271431484502447,81897,0.01670004078303426,127574,0.026014274061990212
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,1000.0,4904000,100569,0.020507544861337684,38961,0.00794473898858075,61608,0.012562805872756933
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,3000.0,4904000,46380,0.00945758564437194,14837,0.003025489396411093,31543,0.006432096247960848
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,10000.0,4904000,19937,0.0040654567699836865,5354,0.0010917618270799348,14583,0.002973694942903752
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,30000.0,4904000,8688,0.001771615008156607,2214,0.00045146818923327896,6474,0.001320146818923328
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,100000.0,4904000,3251,0.0006629282218597064,822,0.00016761827079934748,2429,0.0004953099510603589
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,300000.0,4904000,1336,0.0002724306688417618,344,7.01468189233279e-05,992,0.00020228384991843393
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,1000000.0,4904000,495,0.00010093800978792823,120,2.4469820554649265e-05,375,7.646818923327895e-05
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,3000000.0,4904000,229,4.669657422512235e-05,57,1.16231647634584e-05,172,3.507340946166395e-05
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,10000000.0,4904000,110,2.243066884176183e-05,27,5.505709624796085e-06,83,1.6924959216965744e-05
SELECTED_ITERATION_CELLS,TURN2_COMMON_ENTERING_STATE,100000000.0,4904000,20,4.078303425774878e-06,7,1.4274061990212072e-06,13,2.6508972267536706e-06
SELECTED_FINAL_CALL_CELLS,ALL,100.0,248000,17779,0.07168951612903225,5321,0.021455645161290324,12458,0.050233870967741935
SELECTED_FINAL_CALL_CELLS,ALL,300.0,248000,7465,0.030100806451612904,2879,0.011608870967741935,4586,0.01849193548387097
SELECTED_FINAL_CALL_CELLS,ALL,1000.0,248000,3468,0.013983870967741936,1353,0.0054556451612903225,2115,0.008528225806451612
SELECTED_FINAL_CALL_CELLS,ALL,3000.0,248000,1635,0.006592741935483871,540,0.0021774193548387095,1095,0.0044153225806451615
SELECTED_FINAL_CALL_CELLS,ALL,10000.0,248000,682,0.00275,180,0.0007258064516129033,502,0.0020241935483870967
