classification,path,province_index,province,difference_min,difference_p50,difference_p95,difference_max
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,12,福建,0.19871230061181844,0.21041966951096955,0.575885961903275,0.5791709608085048
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,13,江西,0.20602247256325107,0.21970414183896725,0.5790607317724903,0.5822889602949683
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,14,山东,0.11656250906499621,0.12106088000800548,0.2783791437720985,0.279436027790983
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,15,河南,0.10186720436303381,0.10532191454243632,0.2509431951315237,0.25186351140571134
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,16,湖北,0.18114274894229987,0.19099731986806673,0.4715852552532992,0.47376847997343674
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,17,湖南,0.16440162256033167,0.172596129332919,0.4163902131511278,0.4181457877910067
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,18,广东,0.2569978462170473,0.2763015634237231,0.4949679190442944,0.4970324896323488
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,19,广西,0.0975362490981129,0.101999970576762,0.31189116546235535,0.3131264891536247
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,20,海南,0.12849199866522387,0.13305004350072436,0.6479852789413235,0.6520230994037315
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,21,重庆,0.19048857912363007,0.20179778735080672,0.6106278388362714,0.6144377961957944
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,22,四川,0.21092148009707185,0.22403534849884116,0.47209216563309075,0.4741324302312101
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,23,贵州,0.16640561787800534,0.17518294355386155,0.5125554330680872,0.5152225029785189
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,24,云南,0.10655109873908365,0.10997705035296806,0.33744183093290786,0.33882004299453966
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,25,西藏,0.06728449191169421,0.06790991992125928,0.6018878761467203,0.6057276599326756
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,26,陕西,0.12070246766042815,0.12655118055091036,0.3956409951283407,0.3974126122371153
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,27,甘肃,0.11793835266330807,0.12394525032831544,0.4487922970919598,0.4512823806568701
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,28,青海,0.02165695678616701,0.022800571010149,0.29800649551509095,0.29923978032825427
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,29,宁夏,0.036912940083734205,0.03719014477151386,0.34718939634367524,0.34863828044715106
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,30,新疆,0.07635498712489255,0.07925645521500858,0.3383757036997328,0.33986076191452186
