outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,14,山东,15,Kt,157288007.639664,157288007.639664,0.0,0.0,True
1,14,山东,15,Zt,0.00033054728607754435,0.00033054728607754435,0.0,0.0,True
1,14,山东,15,GovInv,157288007.639664,157288007.639664,0.0,0.0,True
1,15,河南,16,rah,0.09,0.09,0.0,0.0,True
1,15,河南,16,rb,0.02,0.02,0.0,0.0,True
1,15,河南,16,tau,0.05,0.05,0.0,0.0,True
1,15,河南,16,w,20.0,20.0,0.0,0.0,True
1,15,河南,16,Tt,0.1,0.1,0.0,0.0,True
1,15,河南,16,rb_gap,0.07,0.07,0.0,0.0,True
1,15,河南,16,Yt,49935900.0,49935900.0,0.0,0.0,True
1,15,河南,16,Lt,499200.0,499200.0,0.0,0.0,True
1,15,河南,16,Kt,128897630.76160501,128897630.76160501,0.0,0.0,True
1,15,河南,16,Zt,0.0006181110089804474,0.0006181110089804474,0.0,0.0,True
1,15,河南,16,GovInv,128897630.76160501,128897630.76160501,0.0,0.0,True
1,16,湖北,17,rah,0.09,0.09,0.0,0.0,True
1,16,湖北,17,rb,0.02,0.02,0.0,0.0,True
1,16,湖北,17,tau,0.05,0.05,0.0,0.0,True
1,16,湖北,17,w,20.0,20.0,0.0,0.0,True
1,16,湖北,17,Tt,0.1,0.1,0.0,0.0,True
1,16,湖北,17,rb_gap,0.07,0.07,0.0,0.0,True
1,16,湖北,17,Yt,42021950.0,42021950.0,0.0,0.0,True
1,16,湖北,17,Lt,358000.0,358000.0,0.0,0.0,True
1,16,湖北,17,Kt,76781442.8482972,76781442.8482972,0.0,0.0,True
1,16,湖北,17,Zt,0.0006926198455034483,0.0006926198455034483,0.0,0.0,True
1,16,湖北,17,GovInv,76781442.8482972,76781442.8482972,0.0,0.0,True
1,17,湖南,18,rah,0.09,0.09,0.0,0.0,True
1,17,湖南,18,rb,0.02,0.02,0.0,0.0,True
1,17,湖南,18,tau,0.05,0.05,0.0,0.0,True
1,17,湖南,18,w,20.0,20.0,0.0,0.0,True
1,17,湖南,18,Tt,0.1,0.1,0.0,0.0,True
1,17,湖南,18,rb_gap,0.07,0.07,0.0,0.0,True
1,17,湖南,18,Yt,36425780.0,36425780.0,0.0,0.0,True
1,17,湖南,18,Lt,373858.0,373858.0,0.0,0.0,True
1,17,湖南,18,Kt,64972845.9653664,64972845.9653664,0.0,0.0,True
1,17,湖南,18,Zt,0.0006933324069686307,0.0006933324069686307,0.0,0.0,True
1,17,湖南,18,GovInv,64972845.9653664,64972845.9653664,0.0,0.0,True
1,18,广东,19,rah,0.09,0.09,0.0,0.0,True
1,18,广东,19,rb,0.02,0.02,0.0,0.0,True
1,18,广东,19,tau,0.05,0.05,0.0,0.0,True
1,18,广东,19,w,20.0,20.0,0.0,0.0,True
1,18,广东,19,Tt,0.1,0.1,0.0,0.0,True
1,18,广东,19,rb_gap,0.07,0.07,0.0,0.0,True
1,18,广东,19,Yt,97277770.0,97277770.0,0.0,0.0,True
1,18,广东,19,Lt,696000.0,696000.0,0.0,0.0,True
1,18,广东,19,Kt,157153836.749134,157153836.749134,0.0,0.0,True
1,18,广东,19,Zt,0.0009725027967433352,0.0009725027967433352,0.0,0.0,True
1,18,广东,19,GovInv,157153836.749134,157153836.749134,0.0,0.0,True
1,19,广西,20,rah,0.09,0.09,0.0,0.0,True
1,19,广西,20,rb,0.02,0.02,0.0,0.0,True
1,19,广西,20,tau,0.05,0.05,0.0,0.0,True
1,19,广西,20,w,20.0,20.0,0.0,0.0,True
1,19,广西,20,Tt,0.1,0.1,0.0,0.0,True
1,19,广西,20,rb_gap,0.07,0.07,0.0,0.0,True
1,19,广西,20,Yt,19627810.0,19627810.0,0.0,0.0,True
1,19,广西,20,Lt,256200.0,256200.0,0.0,0.0,True
1,19,广西,20,Kt,52819779.099576995,52819779.099576995,0.0,0.0,True
1,19,广西,20,Zt,0.0006223369520165091,0.0006223369520165091,0.0,0.0,True
1,19,广西,20,GovInv,52819779.099576995,52819779.099576995,0.0,0.0,True
1,20,海南,21,rah,0.09,0.09,0.0,0.0,True
1,20,海南,21,rb,0.02,0.02,0.0,0.0,True
1,20,海南,21,tau,0.05,0.05,0.0,0.0,True
1,20,海南,21,w,20.0,20.0,0.0,0.0,True
1,20,海南,21,Tt,0.1,0.1,0.0,0.0,True
1,20,海南,21,rb_gap,0.07,0.07,0.0,0.0,True
1,20,海南,21,Yt,4910690.0,4910690.0,0.0,0.0,True
1,20,海南,21,Lt,53600.0,53600.0,0.0,0.0,True
1,20,海南,21,Kt,10030399.0365303,10030399.0365303,0.0,0.0,True
1,20,海南,21,Zt,0.00038281495183633223,0.00038281495183633223,0.0,0.0,True
1,20,海南,21,GovInv,10030399.0365303,10030399.0365303,0.0,0.0,True
1,21,重庆,22,rah,0.09,0.09,0.0,0.0,True
1,21,重庆,22,rb,0.02,0.02,0.0,0.0,True
1,21,重庆,22,tau,0.05,0.05,0.0,0.0,True
1,21,重庆,22,w,20.0,20.0,0.0,0.0,True
1,21,重庆,22,Tt,0.1,0.1,0.0,0.0,True
1,21,重庆,22,rb_gap,0.07,0.07,0.0,0.0,True
1,21,重庆,22,Yt,20363190.0,20363190.0,0.0,0.0,True
1,21,重庆,22,Lt,166323.0,166323.0,0.0,0.0,True
1,21,重庆,22,Kt,39300958.3175844,39300958.3175844,0.0,0.0,True
1,21,重庆,22,Zt,0.0006868337888017926,0.0006868337888017926,0.0,0.0,True
1,21,重庆,22,GovInv,39300958.3175844,39300958.3175844,0.0,0.0,True
1,22,四川,23,rah,0.09,0.09,0.0,0.0,True
1,22,四川,23,rb,0.02,0.02,0.0,0.0,True
1,22,四川,23,tau,0.05,0.05,0.0,0.0,True
1,22,四川,23,w,20.0,20.0,0.0,0.0,True
1,22,四川,23,Tt,0.1,0.1,0.0,0.0,True
1,22,四川,23,rb_gap,0.07,0.07,0.0,0.0,True
1,22,四川,23,Yt,42902100.0,42902100.0,0.0,0.0,True
1,22,四川,23,Lt,469000.0,469000.0,0.0,0.0,True
1,22,四川,23,Kt,69531075.8089531,69531075.8089531,0.0,0.0,True
1,22,四川,23,Zt,0.0007046610342276092,0.0007046610342276092,0.0,0.0,True
1,22,四川,23,GovInv,69531075.8089531,69531075.8089531,0.0,0.0,True
1,23,贵州,24,rah,0.09,0.09,0.0,0.0,True
1,23,贵州,24,rb,0.02,0.02,0.0,0.0,True
1,23,贵州,24,tau,0.05,0.05,0.0,0.0,True
1,23,贵州,24,w,20.0,20.0,0.0,0.0,True
