call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
151,True,True,11,11,1.3788500563549633e-08,1.3788500563549633e-08,True,True
152,True,True,11,11,7.683500946598087e-09,7.683500946598087e-09,True,True
153,True,True,11,11,3.0929760974629517e-09,3.0929760974629517e-09,True,True
154,True,True,11,11,7.518702105357988e-09,7.518702105357988e-09,True,True
155,True,True,10,10,4.6720624702345503e-08,4.6720624702345503e-08,True,True
156,True,True,11,11,3.1898375052463734e-08,3.1898375052463734e-08,True,True
157,True,True,11,11,2.788214459314986e-08,2.788214459314986e-08,True,True
158,True,True,11,11,2.8643232674596675e-08,2.8643232674596675e-08,True,True
159,True,True,11,11,3.147695704086573e-08,3.147695704086573e-08,True,True
160,True,True,11,11,1.7075858949056055e-08,1.7075858949056055e-08,True,True
161,True,True,11,11,1.8209712404626544e-08,1.8209712404626544e-08,True,True
162,True,True,11,11,1.8819994451746425e-08,1.8819994451746425e-08,True,True
163,True,True,11,11,1.9349659208245384e-08,1.9349659208245384e-08,True,True
164,True,True,11,11,3.0372318882143645e-08,3.0372318882143645e-08,True,True
165,True,True,11,11,2.8254423245499538e-08,2.8254423245499538e-08,True,True
166,True,True,11,11,2.8924522332829383e-08,2.8924522332829383e-08,True,True
167,True,True,11,11,3.502601275684469e-08,3.502601275684469e-08,True,True
168,True,True,11,11,1.764433532613907e-08,1.764433532613907e-08,True,True
169,True,True,11,11,3.055193742440565e-08,3.055193742440565e-08,True,True
170,True,True,11,11,3.389078662152656e-08,3.389078662152656e-08,True,True
171,True,True,11,11,4.240808859634626e-08,4.240808859634626e-08,True,True
172,True,True,11,11,3.888555522024717e-08,3.888555522024717e-08,True,True
173,True,True,11,11,3.3884725247901315e-08,3.3884725247901315e-08,True,True
174,True,True,11,11,1.7745717340034162e-08,1.7745717340034162e-08,True,True
175,True,True,11,11,1.7954612907544742e-08,1.7954612907544742e-08,True,True
176,True,True,11,11,1.9291157560274996e-08,1.9291157560274996e-08,True,True
177,True,True,11,11,2.8008742880558657e-08,2.8008742880558657e-08,True,True
178,True,True,11,11,1.7866289780954503e-08,1.7866289780954503e-08,True,True
179,True,True,11,11,1.748567513004673e-08,1.748567513004673e-08,True,True
180,True,True,11,11,1.8128233580938513e-08,1.8128233580938513e-08,True,True
181,True,True,11,11,1.780403735551772e-08,1.780403735551772e-08,True,True
182,True,True,11,11,3.360644384997613e-08,3.360644384997613e-08,True,True
183,True,True,11,11,1.8035942073169053e-08,1.8035942073169053e-08,True,True
184,True,True,11,11,1.8924632527728136e-08,1.8924632527728136e-08,True,True
185,True,True,11,11,1.69951634987342e-08,1.69951634987342e-08,True,True
186,True,True,11,11,1.630396484486596e-08,1.630396484486596e-08,True,True
187,True,True,89,89,8.109314908466558e-08,8.109314908466558e-08,True,True
188,True,True,26,26,2.78012279864015e-10,2.78012279864015e-10,True,True
189,True,True,14,14,5.029585636862066e-10,5.029585636862066e-10,True,True
190,True,True,14,14,7.909508603631821e-10,7.909508603631821e-10,True,True
191,False,False,100,100,0.057396105364165395,0.057396105364165395,True,True
192,True,True,16,16,1.3628387307562662e-10,1.3628387307562662e-10,True,True
193,True,True,21,21,3.194764897074265e-09,3.194764897074265e-09,True,True
194,True,True,15,15,6.1198939249607065e-09,6.1198939249607065e-09,True,True
195,True,True,19,19,3.446574137200287e-08,3.446574137200287e-08,True,True
196,True,True,17,17,7.361369736003098e-09,7.361369736003098e-09,True,True
197,True,True,14,14,2.0348123186408884e-10,2.0348123186408884e-10,True,True
198,True,True,52,52,5.136246983283854e-11,5.136246983283854e-11,True,True
199,True,True,13,13,4.43789729409616e-08,4.43789729409616e-08,True,True
200,True,True,40,40,2.7806423830156746e-11,2.7806423830156746e-11,True,True
201,True,True,14,14,1.1279257527974096e-09,1.1279257527974096e-09,True,True
202,True,True,14,14,5.281461268324961e-09,5.281461268324961e-09,True,True
203,True,True,74,74,5.863561058916389e-08,5.863561058916389e-08,True,True
