turn,variable,ranking_path,rank,province_index,province,i_b,i_a,i_z,b,a,z,boundary_label,focal_value,focal_abs,matched_other_value,control_value,raw_value,raw_minus_control,raw_over_control_abs,control_liquid_label,raw_liquid_label,control_transfer_label,raw_transfer_label,control_consumption,raw_consumption,control_transfer,raw_transfer,control_adjustment_cost,raw_adjustment_cost,control_effective_return,raw_effective_return,control_mu_a,raw_mu_a,control_mu_b,raw_mu_b,control_hjb_statistic,raw_hjb_statistic
3,mu_b,C,5,1,天津,11,17,1,2.052631578947368,8.947368421052632,1.3,interior,-9288484096.953167,9288484096.953167,-2003.7859394061243,-9288484096.953167,-2003.7859394061243,9288482093.167227,2.1572798300461228e-07,B,B,B,B,1000.0,1000.0,288278.759353227,-99.00205767351035,9288194820.761106,1105.351623697894,0.08669249588435207,0.4197061789690569,288279.535022927,-95.24679186168194,-9288484096.953167,-2003.7859394061243,0.4674884890777189,0.06854523889254538
3,mu_b,C,6,23,贵州,19,12,0,5.0,6.315789473684211,0.8,upper_b,-6818591810.4293,6818591810.4293,-3.5920843250305037,-6818591810.4293,-3.5920843250305037,6818591806.837216,5.2680735625445e-10,B,F,B,B,506.4132600617046,8.748425929075621,-207523.41266017067,-8.467329085665481,6818798829.344151,12.198546034018014,0.08985608988663768,0.6002720226371672,-207522.845148024,-4.67613736374653,-6818591810.4293,-3.5920843250305037,0.1960794268127879,0.3789352131513051
3,mu_b,C,7,22,四川,7,14,1,0.5789473684210527,7.368421052631579,1.3,interior,-3441161219.935558,3441161219.935558,-1987.989975819049,-3441161219.935558,-1987.989975819049,3441159231.945582,5.777090489983721e-07,B,B,B,B,1000.0,1000.0,159231.36254059448,-88.8112717306074,3441000991.0944715,1079.3196824712602,0.08942374803149965,0.5583491581387661,159232.02145242208,-84.6971200390586,-3441161219.935558,-1987.989975819049,0.37435260416099303,5.390036317276525e-08
3,mu_b,C,8,22,四川,6,14,1,0.21052631578947345,7.368421052631579,1.3,interior,-3315786328.360372,3315786328.360372,-22.850921313828998,-3315786328.360372,-22.850921313828998,3315786305.509451,6.891554235079008e-09,B,B,B,B,881.362731143724,15.972295062248135,156303.66736182227,8.622591068306841,3315629145.969226,10.952490948928208,0.08942374803149965,0.5583491581387661,156304.32627364987,12.736742759855645,-3315786328.360372,-22.850921313828998,0.37435260416099303,5.390036317276525e-08
3,mu_b,C,9,23,贵州,15,10,1,3.526315789473684,5.263157894736842,1.3,interior,-1417886857.3583078,1417886857.3583078,-21.795677125649124,-1417886857.3583078,-21.795677125649124,1417886835.5626307,1.5371943827913794e-08,B,F,B,B,811.612601117822,5.005488670772695,-86388.46773916342,-16.412769051778174,1417972436.927665,52.82328461510924,0.0899721092559092,0.6010470750742982,-86387.99420174627,-13.249363393492395,-1417886857.3583078,-21.795677125649124,0.1960794268127879,0.3789352131513051
3,mu_b,C,10,1,天津,11,15,0,2.052631578947368,7.894736842105263,0.8,interior,-451039214.88929254,451039214.88929254,-1898.1650906323143,-451039214.88929254,-1898.1650906323143,451037316.7242019,4.208425848511239e-06,B,B,B,B,1000.0,1000.0,59668.33206766104,-87.90423069446673,450978548.05318457,987.5632344410102,0.08892778610168164,0.4305279358746813,59669.03412913026,-84.50532593756135,-451039214.88929254,-1898.1650906323143,0.4674884890777189,0.06854523889254538
3,mu_b,R,1,11,安徽,3,11,1,-0.8947368421052633,5.789473684210526,1.3,interior,-1293188164448.144,1293188164448.144,-2106.39769038968,-2106.39769038968,-1293188164448.144,-1293188162341.7463,613933527.5329258,B,B,B,B,1000.0,701.6985887592447,77.004882577167,-2736218.759510891,1031.930368928101,1293190899968.122,0.08993423508437083,0.6710271225188279,77.52555446449756,-2736214.874617024,-2106.39769038968,-1293188164448.144,0.31856908438261544,3.3846627368935884
3,mu_b,R,2,11,安徽,6,12,1,0.21052631578947345,6.315789473684211,1.3,interior,-254246722735.76947,254246722735.76947,5.197680191095827,5.197680191095827,-254246722735.76947,-254246722740.96716,48915422532.40606,F,B,0,B,10.492171048912404,480.2017948145345,0.0,-1267192.161887616,0.0,254247989451.2061,0.08985608988663767,0.6704440570474381,0.5675121466524484,-1267187.9275040978,5.197680191095827,-254246722735.76947,0.31856908438261544,3.3846627368935884
3,mu_b,R,3,11,安徽,18,17,1,4.63157894736842,8.947368421052632,1.3,interior,-69309579106.24872,69309579106.24872,-1342.1614111301774,-1342.1614111301774,-69309579106.24872,-69309577764.08731,51640271.081766576,B,B,B,B,32.9855924785438,614.3553185934967,103.8346927246697,787483.7035814755,1215.3906742801428,69308791011.43828,0.08669249588435204,0.6468395044743273,104.61036242468758,787489.4910928314,-1342.1614111301774,-69309579106.24872,0.31856908438261544,3.3846627368935884
3,mu_b,R,4,7,黑龙江,18,17,0,4.63157894736842,8.947368421052632,0.8,interior,-18705357910.01392,18705357910.01392,3.6239732440143957,3.6239732440143957,-18705357910.01392,-18705357913.637894,5161560709.894583,F,B,F,B,6.097608466097462,1000.0,-1.72557271878485,-409105.1382047202,0.5053479951048159,18705766016.423004,0.08669249588435204,0.3210116490585185,-0.9499030187669633,-409102.26599522866,3.6239732440143957,-18705357910.01392,2.1164342278723325e-08,98.85601306881138
3,mu_b,R,5,16,湖北,9,16,0,1.3157894736842102,8.421052631578947,0.8,interior,-10637830441.765266,10637830441.765266,-1990.9303686643477,-1990.9303686643477,-10637830441.765266,-10637828450.834898,5343145.400359658,B,B,B,B,1000.0,1000.0,-95.28853892511682,-299305.8470046213,1087.767649887428,10638128749.15921,0.08808336266030328,0.5491511828544571,-94.54678429218795,-299301.22257360775,-1990.9303686643477,-10637830441.765266,0.004286045591321397,9.998847138463749
3,mu_b,R,6,26,陕西,8,1,1,0.9473684210526314,0.5263157894736842,1.3,interior,-7278319812.699467,7278319812.699467,6.394669723402258,6.394669723402258,-7278319812.699467,-7278319819.094136,1138185414.9657423,F,B,B,B,9.50603158394545,1000.0,0.20522409909449607,-61892.83828508114,0.10054457852282994,7278380708.15192,0.0899999999999721,0.48549137921013347,0.252592520147113,-61892.582763302606,6.394669723402258,-7278319812.699467,2.5863206021270457e-08,0.4684711741612657
3,mu_b,R,7,4,内蒙古,4,13,0,-0.5263157894736843,6.842105263157895,0.8,interior,-4798049933.953321,4798049933.953321,-3.8811665632291135,-3.8811665632291135,-4798049933.953321,-4798049930.072155,1236239119.2923617,0,B,B,B,8.785433947229583,645.4368171941471,2.617806570779525,-181190.1599172604,1.2633599924495882,4798230480.292958,0.08970423262177672,0.3541343348226563,3.2315723729285235,-181187.73689286425,-3.8811665632291135,-4798049933.953321,0.002324992374752144,6.9681392464098595
3,mu_b,R,8,13,江西,8,18,1,0.9473684210526314,9.473684210526315,1.3,interior,-3723574697.2533655,3723574697.2533655,-6.950924324541475,-6.950924324541475,-3723574697.2533655,-3723574690.302441,535694898.0305573,0,B,B,B,13.779573652063275,299.77201887324327,4.433147595615167,-187823.23992317164,2.517776728926307,3723762224.821263,0.08446761179431558,0.6260554536034353,5.233367075771841,-187817.30887150593,-6.950924324541475,-3723574697.2533655,0.0002767845829780846,1.2913903281262011
3,mu_b,R,9,21,重庆,14,16,1,3.1578947368421053,8.421052631578947,1.3,interior,-1448954524.8207023,1448954524.8207023,6.453909908739304,6.453909908739304,-1448954524.8207023,-1448954531.2746122,224508018.44299972,F,B,F,B,9.698774784004197,225.59973396664827,-0.6060124338018554,110456.76653964988,0.10421230793347627,1448843847.0110264,0.08808336266030327,0.682731073812596,0.13574219912701413,110462.51585395567,6.453909908739304,-1448954524.8207023,1.7051071665719064e-10,36.12556594147111
3,mu_b,R,10,26,陕西,10,2,1,1.6842105263157894,1.0526315789473684,1.3,interior,-1382265462.7163627,1382265462.7163627,6.2951516011793025,6.2951516011793025,-1382265462.7163627,-1382265469.0115144,219576199.31780767,F,B,B,B,9.55885027810883,1000.0,0.24822879647742457,-38145.13552441572,0.0833595382783416,1382302610.4807923,0.08999999998571993,0.4854913791332523,0.34296563856765605,-38144.624480858736,6.2951516011793025,-1382265462.7163627,2.5863206021270457e-08,0.4684711741612657
3,mu_a,C,1,22,四川,9,13,0,1.3157894736842102,6.842105263157895,0.8,interior,-828009.314011527,828009.314011527,-84.97536108984387,-828009.314011527,-84.97536108984387,827924.3386504372,0.0001026260932720147,B,B,B,B,1000.0,1000.0,-828009.9277773291,-88.80762742253597,100203224104.51999,1161.566140280556,0.08970423262177674,0.5601004640088459,-828009.314011527,-84.97536108984387,-100202397093.12012,-2071.2881141415123,0.37435260416099303,5.390036317276525e-08
3,mu_a,C,2,17,湖南,4,8,1,-0.5263157894736843,4.2105263157894735,1.3,interior,-491390.7252903982,491390.7252903982,3.3882756263076175,-491390.7252903982,3.3882756263076175,491394.11356602446,6.8952779365244255e-06,B,F,B,B,806.0664654812982,9.486253513092047,-491391.10422200477,1.2559649863932274,57348038249.88419,0.500240409812686,0.0899962565676959,0.5064237769796677,-491390.7252903982,3.3882756263076175,-57347547662.079765,4.835126616795339,0.16962513718325423,1.0820619491267875
3,mu_a,C,3,1,天津,11,18,0,2.052631578947368,9.473684210526315,0.8,interior,438551.05821957206,438551.05821957206,16.200906514581863,438551.05821957206,16.200906514581863,-438534.85731305747,3.694189356275696e-05,B,0,B,B,1000.0,8.984943245213318,438550.2580000919,12.326787342823371,20301156338.62022,17.271812277107998,0.0844676117943156,0.40893480146339656,438551.05821957206,16.200906514581863,-20301595887.382263,-29.598599619931367,0.4674884890777189,0.06854523889254538
3,mu_a,C,4,1,天津,11,17,1,2.052631578947368,8.947368421052632,1.3,interior,288279.535022927,288279.535022927,-95.24679186168194,288279.535022927,-95.24679186168194,-288374.78181478864,0.00033039734108807593,B,B,B,B,1000.0,1000.0,288278.759353227,-99.00205767351035,9288194820.761106,1105.351623697894,0.08669249588435207,0.4197061789690569,288279.535022927,-95.24679186168194,-9288484096.953167,-2003.7859394061243,0.4674884890777189,0.06854523889254538
3,mu_a,C,5,11,安徽,12,11,1,2.421052631578947,5.789473684210526,1.3,interior,-287828.82994233834,287828.82994233834,-3.794738998513438,-287828.82994233834,-3.794738998513438,287825.0352033398,1.3184012870683072e-05,B,F,B,B,1000.0,3.1743303199196204,-287829.35061422567,-7.679632865727704,14309746659.527155,10.95485836016311,0.08993423508437083,0.6710271225188279,-287828.82994233834,-3.794738998513438,-14309459827.510033,18.80831116106364,0.31856908438261544,3.3846627368935884
3,mu_a,C,6,23,贵州,19,12,0,5.0,6.315789473684211,0.8,upper_b,-207522.845148024,207522.845148024,-4.67613736374653,-207522.845148024,-4.67613736374653,207518.16901066026,2.2533120921752435e-05,B,F,B,B,506.4132600617046,8.748425929075621,-207523.41266017067,-8.467329085665481,6818798829.344151,12.198546034018014,0.08985608988663768,0.6002720226371672,-207522.845148024,-4.67613736374653,-6818591810.4293,-3.5920843250305037,0.1960794268127879,0.3789352131513051
3,mu_a,C,7,22,四川,7,14,1,0.5789473684210527,7.368421052631579,1.3,interior,159232.02145242208,159232.02145242208,-84.6971200390586,159232.02145242208,-84.6971200390586,-159316.71857246113,0.0005319100973943597,B,B,B,B,1000.0,1000.0,159231.36254059448,-88.8112717306074,3441000991.0944715,1079.3196824712602,0.08942374803149965,0.5583491581387661,159232.02145242208,-84.6971200390586,-3441161219.935558,-1987.989975819049,0.37435260416099303,5.390036317276525e-08
3,mu_a,C,8,22,四川,6,14,1,0.21052631578947345,7.368421052631579,1.3,interior,156304.32627364987,156304.32627364987,12.736742759855645,156304.32627364987,12.736742759855645,-156291.58953089002,8.148682166069278e-05,B,B,B,B,881.362731143724,15.972295062248135,156303.66736182227,8.622591068306841,3315629145.969226,10.952490948928208,0.08942374803149965,0.5583491581387661,156304.32627364987,12.736742759855645,-3315786328.360372,-22.850921313828998,0.37435260416099303,5.390036317276525e-08
3,mu_a,C,9,23,贵州,15,10,1,3.526315789473684,5.263157894736842,1.3,interior,-86387.99420174627,86387.99420174627,-13.249363393492395,-86387.99420174627,-13.249363393492395,86374.74483835278,0.00015337042509113574,B,F,B,B,811.612601117822,5.005488670772695,-86388.46773916342,-16.412769051778174,1417972436.927665,52.82328461510924,0.0899721092559092,0.6010470750742982,-86387.99420174627,-13.249363393492395,-1417886857.3583078,-21.795677125649124,0.1960794268127879,0.3789352131513051
3,mu_a,C,10,1,天津,11,15,0,2.052631578947368,7.894736842105263,0.8,interior,59669.03412913026,59669.03412913026,-84.50532593756135,59669.03412913026,-84.50532593756135,-59753.539455067825,0.001416234185300916,B,B,B,B,1000.0,1000.0,59668.33206766104,-87.90423069446673,450978548.05318457,987.5632344410102,0.08892778610168164,0.4305279358746813,59669.03412913026,-84.50532593756135,-451039214.88929254,-1898.1650906323143,0.4674884890777189,0.06854523889254538
3,mu_a,R,1,11,安徽,3,11,1,-0.8947368421052633,5.789473684210526,1.3,interior,-2736214.874617024,2736214.874617024,77.52555446449756,77.52555446449756,-2736214.874617024,-2736292.4001714885,35294.36059525456,B,B,B,B,1000.0,701.6985887592447,77.004882577167,-2736218.759510891,1031.930368928101,1293190899968.122,0.08993423508437083,0.6710271225188279,77.52555446449756,-2736214.874617024,-2106.39769038968,-1293188164448.144,0.31856908438261544,3.3846627368935884
3,mu_a,R,2,11,安徽,6,12,1,0.21052631578947345,6.315789473684211,1.3,interior,-1267187.9275040978,1267187.9275040978,0.5675121466524484,0.5675121466524484,-1267187.9275040978,-1267188.4950162445,2232882.476575677,F,B,0,B,10.492171048912404,480.2017948145345,0.0,-1267192.161887616,0.0,254247989451.2061,0.08985608988663767,0.6704440570474381,0.5675121466524484,-1267187.9275040978,5.197680191095827,-254246722735.76947,0.31856908438261544,3.3846627368935884
3,mu_a,R,3,11,安徽,18,17,1,4.63157894736842,8.947368421052632,1.3,interior,787489.4910928314,787489.4910928314,104.61036242468758,104.61036242468758,787489.4910928314,787384.8807304067,7527.834459609781,B,B,B,B,32.9855924785438,614.3553185934967,103.8346927246697,787483.7035814755,1215.3906742801428,69308791011.43828,0.08669249588435204,0.6468395044743273,104.61036242468758,787489.4910928314,-1342.1614111301774,-69309579106.24872,0.31856908438261544,3.3846627368935884
3,mu_a,R,4,7,黑龙江,18,17,0,4.63157894736842,8.947368421052632,0.8,interior,-409102.26599522866,409102.26599522866,-0.9499030187669633,-0.9499030187669633,-409102.26599522866,-409101.3160922099,430677.93018098874,F,B,F,B,6.097608466097462,1000.0,-1.72557271878485,-409105.1382047202,0.5053479951048159,18705766016.423004,0.08669249588435204,0.3210116490585185,-0.9499030187669633,-409102.26599522866,3.6239732440143957,-18705357910.01392,2.1164342278723325e-08,98.85601306881138
3,mu_a,R,5,16,湖北,9,16,0,1.3157894736842102,8.421052631578947,0.8,interior,-299301.22257360775,299301.22257360775,-94.54678429218795,-94.54678429218795,-299301.22257360775,-299206.67578931554,3165.6414844173382,B,B,B,B,1000.0,1000.0,-95.28853892511682,-299305.8470046213,1087.767649887428,10638128749.15921,0.08808336266030328,0.5491511828544571,-94.54678429218795,-299301.22257360775,-1990.9303686643477,-10637830441.765266,0.004286045591321397,9.998847138463749
3,mu_a,R,6,13,江西,8,18,1,0.9473684210526314,9.473684210526315,1.3,interior,-187817.30887150593,187817.30887150593,5.233367075771841,5.233367075771841,-187817.30887150593,-187822.5422385817,35888.42635194012,0,B,B,B,13.779573652063275,299.77201887324327,4.433147595615167,-187823.23992317164,2.517776728926307,3723762224.821263,0.08446761179431558,0.6260554536034353,5.233367075771841,-187817.30887150593,-6.950924324541475,-3723574697.2533655,0.0002767845829780846,1.2913903281262011
3,mu_a,R,7,4,内蒙古,4,13,0,-0.5263157894736843,6.842105263157895,0.8,interior,-181187.73689286425,181187.73689286425,3.2315723729285235,3.2315723729285235,-181187.73689286425,-181190.96846523718,56067.98053192535,0,B,B,B,8.785433947229583,645.4368171941471,2.617806570779525,-181190.1599172604,1.2633599924495882,4798230480.292958,0.08970423262177672,0.3541343348226563,3.2315723729285235,-181187.73689286425,-3.8811665632291135,-4798049933.953321,0.002324992374752144,6.9681392464098595
3,mu_a,R,8,21,重庆,14,16,1,3.1578947368421053,8.421052631578947,1.3,interior,110462.51585395567,110462.51585395567,0.13574219912701413,0.13574219912701413,110462.51585395567,110462.38011175655,813766.9535661181,F,B,F,B,9.698774784004197,225.59973396664827,-0.6060124338018554,110456.76653964988,0.10421230793347627,1448843847.0110264,0.08808336266030327,0.682731073812596,0.13574219912701413,110462.51585395567,6.453909908739304,-1448954524.8207023,1.7051071665719064e-10,36.12556594147111
3,mu_a,R,9,16,湖北,8,16,0,0.9473684210526314,8.421052631578947,0.8,interior,-103674.61509947064,103674.61509947064,3.7705245378671712,3.7705245378671712,-103674.61509947064,-103678.3856240085,27496.072246254378,0,B,B,B,9.33948753809356,1000.0,3.0287699049383017,-103679.23953048415,1.3922238380197014,1276499802.1912696,0.08808336266030328,0.5491511828544571,3.7705245378671712,-103674.61509947064,-4.420993742958003,-1276397121.4121697,0.004286045591321397,9.998847138463749
3,mu_a,R,10,7,黑龙江,2,15,1,-1.263157894736842,7.894736842105263,1.3,interior,-87249.70455801793,87249.70455801793,0.26247501451596267,0.26247501451596267,-87249.70455801793,-87249.96703303244,332411.46674062475,F,B,F,B,7.845479283465031,98.64456160906757,-0.4395864547078395,-87252.3042052847,0.06843523728471423,964317573.1870825,0.08892778610168162,0.3292886537919681,0.26247501451596267,-87249.70455801793,5.963603890113684,-964230414.6645658,2.1164342278723325e-08,98.85601306881138
